Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
1006032852,SEXY,LOW,4.6,M,SUMMER,O-NECK,SLEEVELESS,EMPIRE,,chiffon,ruffles,animal,1
1212192089,CASUAL,LOW,0.0,L,SUMMER,O-NECK,PETAL,NATURAL,MICROFIBER,,ruffles,animal,0
1190380701,VINTAGE,HIGH,0.0,L,AUTUMN,O-NECK,FULL,NATURAL,POLYSTER,,,print,0
966005983,BRIEF,AVERAGE,4.6,L,SPRING,O-NECK,FULL,NATURAL,SILK,chiffon,embroidary,print,1
876339541,CUTE,LOW,4.5,M,SUMMER,O-NECK,BUTTERFLY,NATURAL,CHIFFONFABRIC,chiffon,bow,dot,0
1068332458,BOHEMIAN,LOW,0.0,M,SUMMER,V-NECK,SLEEVELESS,EMPIRE,,,,print,0
1220707172,CASUAL,AVERAGE,0.0,XL,SUMMER,O-NECK,FULL,,COTTON,,,solid,0
1219677488,NOVELTY,AVERAGE,0.0,FREE,AUTUMN,O-NECK,SHORT,NATURAL,POLYSTER,broadcloth,lace,,0
1113094204,FLARE,AVERAGE,0.0,FREE,SPRING,V-NECK,SHORT,EMPIRE,COTTON,broadcloth,beading,solid,1
985292672,BOHEMIAN,LOW,0.0,FREE,SUMMER,V-NECK,SLEEVELESS,NATURAL,NYLON,chiffon,,,1
1117293701,PARTY,AVERAGE,5.0,FREE,SUMMER,O-NECK,FULL,NATURAL,POLYSTER,broadcloth,lace,solid,0
898481530,FLARE,AVERAGE,0.0,FREE,SPRING,V-NECK,SHORT,,NYLON,,,animal,0
957723897,SEXY,LOW,4.7,M,WINTER,O-NECK,THREEQUARTER,,,chiffon,lace,print,1
749031896,VINTAGE,AVERAGE,4.8,M,SUMMER,O-NECK,SHORT,EMPIRE,COTTON,jersey,,animal,1
1055411544,CASUAL,LOW,5.0,M,SUMMER,BOAT-NECK,SHORT,,COTTON,,sashes,solid,0
1162628131,CASUAL,LOW,0.0,FREE,WINTER,BOAT-NECK,FULL,,OTHER,other,lace,,0
624314841,CUTE,AVERAGE,4.7,L,SPRING,O-NECK,SHORT,,COTTON,,sashes,solid,1
830467746,BOHEMIAN,MEDIUM,5.0,FREE,AUTUMN,O-NECK,FULL,NATURAL,,,hollowout,patchwork,1
840857118,BRIEF,AVERAGE,0.0,M,WINTER,PETERPAN-COLLOR,THREEQUARTER,NATURAL,COTTON,,,patchwork,0
1113221101,SEXY,AVERAGE,5.0,M,AUTUMN,O-NECK,SLEEVELESS,EMPIRE,MILKSILK,,,,1
861754372,SEXY,AVERAGE,4.5,L,AUTUMN,O-NECK,FULL,,COTTON,,beading,solid,0
856178100,CASUAL,LOW,4.3,M,SUMMER,O-NECK,SLEEVELESS,NATURAL,,chiffon,,solid,0
1122989777,BRIEF,LOW,4.0,XL,SUMMER,V-NECK,SHORT,NATURAL,COTTON,,pockets,solid,0
840516484,SEXY,AVERAGE,4.7,S,SUMMER,V-NECK,SLEEVELESS,EMPIRE,COTTON,,sequined,solid,1
768517084,SEXY,AVERAGE,0.0,FREE,AUTUMN,V-NECK,SLEEVELESS,NATURAL,POLYSTER,,lace,patchwork,0
1139843344,SEXY,AVERAGE,0.0,M,AUTUMN,O-NECK,SLEEVELESS,EMPIRE,COTTON,broadcloth,,print,0
1004212992,SEXY,AVERAGE,4.7,M,SPRING,O-NECK,SLEEVELESS,NATURAL,,,,solid,1
1235426503,CASUAL,LOW,0.0,L,SUMMER,O-NECK,SLEEVELESS,NATURAL,COTTON,jersey,,print,0
942808364,CUTE,LOW,4.3,FREE,AUTUMN,O-NECK,SLEEVELESS,NATURAL,POLYSTER,chiffon,sashes,striped,0
629131530,CUTE,LOW,4.7,M,SPRING,RUFFLED,SHORT,EMPIRE,CHIFFONFABRIC,chiffon,bow,dot,1
851945460,CASUAL,AVERAGE,4.6,L,AUTUMN,O-NECK,SLEEVELESS,EMPIRE,POLYSTER,chiffon,ruffles,solid,0
1150275464,CASUAL,LOW,0.0,M,SPRING,O-NECK,SLEEVELESS,NATURAL,SILK,chiffon,applique,solid,1
1026634314,CASUAL,AVERAGE,4.4,L,AUTUMN,O-NECK,SLEEVELESS,NATURAL,LINEN,chiffon,ruffles,animal,0
978773911,BRIEF,AVERAGE,4.3,L,SPRING,O-NECK,SLEEVELESS,EMPIRE,,,bow,solid,1
827791337,PARTY,HIGH,4.7,M,SPRING,O-NECK,THREEQUARTER,,,,,print,0
640823350,CASUAL,LOW,4.6,FREE,WINTER,BOAT-NECK,FULL,NATURAL,COTTON,,,patchwork,1
801861988,VINTAGE,AVERAGE,4.6,FREE,WINTER,O-NECK,FULL,NATURAL,,chiffon,,print,1
1060207186,BRIEF,AVERAGE,0.0,M,AUTUMN,O-NECK,SHORT,NATURAL,COTTON,,,print,0
1054679816,PARTY,AVERAGE,4.6,M,WINTER,O-NECK,SLEEVELESS,NATURAL,COTTON,,lace,solid,1
941190190,CASUAL,AVERAGE,4.5,M,SPRING,V-NECK,SHORT,EMPIRE,COTTON,,button,solid,1
943844640,BRIEF,AVERAGE,5.0,FREE,SPRING,V-NECK,SLEEVELESS,NATURAL,COTTON,broadcloth,lace,solid,1
661795386,BRIEF,LOW,4.4,L,AUTUMN,O-NECK,HALF,NATURAL,RAYON,chiffon,sashes,solid,0
875312593,CASUAL,AVERAGE,4.8,M,WINTER,O-NECK,SHORT,NATURAL,LYCRA,broadcloth,applique,patchwork,0
971387676,CASUAL,LOW,4.8,FREE,SPRING,O-NECK,SLEEVELESS,NATURAL,COTTON,,,print,0
1021185637,VINTAGE,AVERAGE,4.8,M,WINTER,O-NECK,SLEEVELESS,NATURAL,COTTON,,,patchwork,1
1163826114,SEXY,AVERAGE,0.0,M,WINTER,O-NECK,SHORT,NATURAL,,,lace,solid,0
735635595,SEXY,AVERAGE,4.8,L,SPRING,V-NECK,THREEQUARTER,EMPIRE,POLYSTER,,lace,geometric,0
1175184188,CASUAL,AVERAGE,0.0,M,SUMMER,O-NECK,HALF,NATURAL,COTTON,chiffon,ruffles,dot,1
679415939,CASUAL,LOW,4.7,M,SUMMER,O-NECK,SLEEVELESS,EMPIRE,MILKSILK,,,solid,0
884147971,CASUAL,MEDIUM,0.0,L,WINTER,BOAT-NECK,FULL,EMPIRE,,,,solid,1
841203385,SEXY,LOW,5.0,FREE,SUMMER,V-NECK,SLEEVELESS,EMPIRE,,chiffon,,animal,1
1117997056,CASUAL,LOW,4.3,FREE,SUMMER,O-NECK,SLEEVELESS,,MILKSILK,,,animal,0
1160536550,CASUAL,AVERAGE,0.0,L,SPRING,O-NECK,HALF,NATURAL,POLYSTER,chiffon,hollowout,solid,1
828623528,CASUAL,AVERAGE,4.6,FREE,AUTUMN,O-NECK,SLEEVELESS,NATURAL,POLYSTER,chiffon,sashes,solid,1
763708514,SEXY,AVERAGE,4.5,M,SPRING,O-NECK,THREEQUARTER,NATURAL,POLYSTER,,lace,geometric,0
1153442065,NOVELTY,AVERAGE,0.0,S,WINTER,TURNDOWNCOLLOR,FULL,NATURAL,COTTON,,,patchwork,0
743729613,CASUAL,AVERAGE,4.9,S,WINTER,TURNDOWNCOLLOR,FULL,NATURAL,COTTON,,,solid,1
1000493051,SEXY,LOW,4.6,L,AUTUMN,O-NECK,SLEEVELESS,NATURAL,,,lace,solid,1
911085061,BOHEMIAN,LOW,4.5,M,SUMMER,V-NECK,SLEEVELESS,NATURAL,POLYSTER,,,print,1
1174854264,WORK,AVERAGE,0.0,M,AUTUMN,SLASH-NECK,SLEEVELESS,NATURAL,POLYSTER,,bow,patchwork,0
1053296757,CUTE,HIGH,0.0,M,SPRING,V-NECK,FULL,NATURAL,RAYON,,,solid,1
1033843327,CASUAL,AVERAGE,0.0,FREE,SPRING,O-NECK,SHORT,NATURAL,COTTON,,hollowout,plaid,0
1083779666,CASUAL,AVERAGE,5.0,M,SUMMER,O-NECK,SHORT,EMPIRE,POLYSTER,chiffon,,animal,0
746255172,CASUAL,AVERAGE,4.7,M,SPRING,O-NECK,SLEEVELESS,NATURAL,,chiffon,sashes,solid,0
1100974555,SEXY,LOW,4.0,S,AUTUMN,O-NECK,SLEEVELESS,EMPIRE,COTTON,,,solid,1
1019134411,CASUAL,AVERAGE,5.0,M,AUTUMN,V-NECK,SHORT,NATURAL,COTTON,broadcloth,beading,solid,0
1072477320,CASUAL,LOW,0.0,FREE,SUMMER,V-NECK,HALF,NATURAL,SILK,broadcloth,applique,solid,0
638423913,CASUAL,MEDIUM,4.5,S,WINTER,O-NECK,FULL,NATURAL,POLYSTER,,,patchwork,1
936425780,WORK,AVERAGE,4.8,L,SUMMER,V-NECK,SHORT,NATURAL,POLYSTER,,hollowout,solid,0
1146088956,CASUAL,MEDIUM,0.0,M,AUTUMN,V-NECK,SHORT,EMPIRE,POLYSTER,,,solid,0
864253055,BOHEMIAN,AVERAGE,5.0,FREE,SUMMER,V-NECK,SLEEVELESS,NATURAL,COTTON,batik,,print,1
1210582154,SEXY,LOW,0.0,M,SPRING,V-NECK,SHORT,NATURAL,POLYSTER,satin,ruffles,solid,1
926480831,SEXY,AVERAGE,4.2,M,WINTER,V-NECK,SLEEVELESS,NATURAL,COTTON,flannael,,solid,0
757260823,CASUAL,LOW,4.8,FREE,SPRING,O-NECK,FULL,NATURAL,COTTON,worsted,lace,solid,0
630561922,CASUAL,LOW,4.4,S,AUTUMN,O-NECK,SLEEVELESS,NATURAL,POLYSTER,,,solid,0
734061929,CASUAL,LOW,4.7,L,SPRING,O-NECK,SHORT,,CHIFFONFABRIC,chiffon,bow,dot,0
842060995,CASUAL,AVERAGE,5.0,XL,WINTER,BOAT-NECK,FULL,,COTTON,,,geometric,1
1078431253,CASUAL,LOW,0.0,FREE,SPRING,V-NECK,SLEEVELESS,,COTTON,,,print,0
939770391,CASUAL,AVERAGE,0.0,FREE,SPRING,O-NECK,SLEEVELESS,NATURAL,,chiffon,,solid,0
943188872,BOHEMIAN,VERY-HIGH,4.7,FREE,WINTER,V-NECK,SLEEVELESS,,POLYSTER,,,,1
1130994272,CASUAL,LOW,5.0,M,SUMMER,V-NECK,SLEEVELESS,EMPIRE,POLYSTER,chiffon,ruffles,animal,0
907117649,PARTY,AVERAGE,4.7,M,SPRING,V-NECK,SLEEVELESS,NATURAL,POLYSTER,chiffon,hollowout,solid,0
967999477,SEXY,LOW,5.0,FREE,SPRING,O-NECK,FULL,NATURAL,COTTON,worsted,,striped,0
944656411,VINTAGE,LOW,4.6,M,SUMMER,O-NECK,SHORT,NATURAL,,chiffon,,print,0
1096779299,CASUAL,AVERAGE,0.0,FREE,WINTER,O-NECK,HALF,EMPIRE,POLYSTER,chiffon,hollowout,solid,0
1036333255,CASUAL,LOW,4.9,L,SUMMER,BOAT-NECK,SHORT,,,chiffon,,patchwork,1
1065316076,CASUAL,LOW,0.0,S,AUTUMN,O-NECK,FULL,NATURAL,,,beading,solid,1
995802744,SEXY,AVERAGE,4.0,S,AUTUMN,V-NECK,SLEEVELESS,,RAYON,chiffon,,patchwork,1
1018110870,SEXY,LOW,5.0,M,AUTUMN,O-NECK,FULL,NATURAL,,chiffon,lace,print,1
850586379,BRIEF,AVERAGE,4.6,M,WINTER,PETERPAN-COLLOR,THREEQUARTER,,COTTON,,,solid,0
1169895668,CASUAL,AVERAGE,0.0,L,SPRING,BOAT-NECK,SLEEVELESS,NATURAL,COTTON,,applique,patchwork,1
688966772,CASUAL,AVERAGE,4.8,L,WINTER,O-NECK,SHORT,NATURAL,COTTON,,pockets,solid,1
1194626925,OL,MEDIUM,0.0,M,WINTER,MANDARIN-COLLOR,HALF,NATURAL,COTTON,,sashes,solid,0
876708804,SEXY,LOW,4.8,M,SPRING,O-NECK,HALF,NATURAL,SILK,,,solid,0
1118628066,CASUAL,MEDIUM,0.0,S,SPRING,V-NECK,FULL,,,,,animal,1
1027818824,CASUAL,MEDIUM,0.0,M,SPRING,V-NECK,THREEQUARTER,NATURAL,SILK,chiffon,ruffles,solid,1
891103323,CASUAL,AVERAGE,0.0,M,SPRING,O-NECK,SLEEVELESS,NATURAL,SILK,,,print,0
1166855026,CASUAL,AVERAGE,0.0,FREE,WINTER,V-NECK,FULL,NATURAL,,chiffon,ruffles,print,0
1023850025,VINTAGE,LOW,4.8,S,SUMMER,O-NECK,SHORT,NATURAL,,chiffon,ruffles,print,0
805438829,SEXY,LOW,4.8,L,SUMMER,V-NECK,FULL,NATURAL,COTTON,jersey,applique,print,1
836788720,FASHION,AVERAGE,4.0,FREE,SUMMER,OPEN,FULL,,COTTON,,sequined,solid,0
835787654,CASUAL,AVERAGE,4.7,L,SUMMER,V-NECK,SHORT,NATURAL,,,,print,1
1148457078,CASUAL,LOW,0.0,FREE,WINTER,O-NECK,HALF,NATURAL,POLYSTER,worsted,,patchwork,1
887476609,BOHEMIAN,LOW,4.8,FREE,SUMMER,O-NECK,SHORT,,,,,animal,1
535968075,WORK,MEDIUM,4.6,L,WINTER,SQARE-COLLOR,SHORT,EMPIRE,COTTON,,Tiered,solid,0
892801580,VINTAGE,AVERAGE,4.7,L,SUMMER,O-NECK,SHORT,NATURAL,COTTON,,button,solid,0
732650169,CUTE,LOW,4.7,M,SPRING,O-NECK,SHORT,EMPIRE,POLYSTER,chiffon,ruffles,dot,1
680070369,CASUAL,LOW,4.6,FREE,AUTUMN,O-NECK,FULL,NATURAL,COTTON,,,solid,1
1002440915,CASUAL,MEDIUM,0.0,FREE,SPRING,O-NECK,SLEEVELESS,NATURAL,COTTON,broadcloth,sequined,solid,1
737538048,CASUAL,AVERAGE,4.7,L,AUTUMN,O-NECK,HALF,,,,lace,,0
1104450248,SEXY,AVERAGE,0.0,L,AUTUMN,V-NECK,SLEEVELESS,EMPIRE,,chiffon,,patchwork,0
797673346,CASUAL,LOW,4.7,FREE,WINTER,O-NECK,SLEEVELESS,NATURAL,COTTON,jersey,,solid,1
1039982741,CASUAL,AVERAGE,0.0,M,AUTUMN,O-NECK,SHORT,EMPIRE,POLYSTER,,applique,print,0
829087315,CUTE,AVERAGE,4.8,L,AUTUMN,SLASH-NECK,SLEEVELESS,NATURAL,,chiffon,hollowout,solid,0
1032990258,PARTY,AVERAGE,5.0,M,SPRING,O-NECK,HALF,NATURAL,,,,,1
939422280,CUTE,AVERAGE,4.3,L,WINTER,O-NECK,SLEEVELESS,NATURAL,,chiffon,,solid,0
974746803,CASUAL,AVERAGE,4.5,L,SPRING,O-NECK,SHORT,NATURAL,COTTON,chiffon,,patchwork,0
1018130478,CASUAL,LOW,4.7,L,AUTUMN,O-NECK,FULL,,COTTON,chiffon,lace,print,0
956758119,CASUAL,LOW,4.5,FREE,AUTUMN,V-NECK,SHORT,NATURAL,SILK,worsted,lace,solid,0
903426442,SEXY,AVERAGE,3.6,L,WINTER,V-NECK,FULL,NATURAL,POLYSTER,woolen,beading,solid,1
861626197,WORK,AVERAGE,4.8,L,WINTER,V-NECK,SHORT,NATURAL,MIX,broadcloth,lace,solid,0
1077015977,VINTAGE,AVERAGE,0.0,FREE,SUMMER,O-NECK,SLEEVELESS,,,,,,0
817870237,SEXY,LOW,4.6,FREE,SPRING,O-NECK,FULL,NATURAL,,,lace,leopard,1
1078996836,SEXY,LOW,0.0,FREE,WINTER,V-NECK,SLEEVELESS,EMPIRE,COTTON,chiffon,,solid,1
881530990,WORK,AVERAGE,4.6,L,SPRING,O-NECK,SHORT,EMPIRE,COTTON,jersey,,patchwork,0
937046375,CASUAL,AVERAGE,4.4,M,SUMMER,O-NECK,SHORT,EMPIRE,,,lace,patchwork,0
870994067,CUTE,LOW,4.9,M,AUTUMN,O-NECK,SHORT,NATURAL,CHIFFONFABRIC,chiffon,bow,dot,0
893330898,SEXY,LOW,4.6,FREE,SUMMER,V-NECK,SLEEVELESS,NATURAL,COTTON,broadcloth,beading,solid,0
822053936,PARTY,AVERAGE,4.4,FREE,AUTUMN,V-NECK,THREEQUARTER,NATURAL,,,,solid,0
1059959935,CASUAL,AVERAGE,0.0,FREE,SPRING,O-NECK,SHORT,,COTTON,,lace,,1
1197204708,CASUAL,LOW,0.0,M,SUMMER,V-NECK,FULL,NATURAL,ACRYLIC,,lace,solid,0
713439584,SEXY,AVERAGE,4.6,M,WINTER,O-NECK,FULL,NATURAL,POLYSTER,,,patchwork,1
732736124,WORK,AVERAGE,4.6,M,SPRING,V-NECK,FULL,,,chiffon,,,0
709353440,CUTE,AVERAGE,4.7,L,WINTER,O-NECK,SLEEVELESS,NATURAL,CHIFFONFABRIC,,lace,solid,0
1031230798,BOHEMIAN,AVERAGE,4.7,L,AUTUMN,O-NECK,SLEEVELESS,NATURAL,,chiffon,,solid,0
1225512606,CUTE,HIGH,0.0,M,WINTER,O-NECK,THREEQUARTER,EMPIRE,SILK,chiffon,lace,patchwork,0
1158347154,CASUAL,AVERAGE,0.0,XL,WINTER,O-NECK,SHORT,EMPIRE,POLYSTER,,button,solid,0
976975672,NOVELTY,AVERAGE,4.9,L,AUTUMN,O-NECK,SHORT,NATURAL,POLYSTER,chiffon,,print,1
520233308,CASUAL,LOW,4.7,M,AUTUMN,O-NECK,FULL,,COTTON,,,solid,0
935827969,CUTE,AVERAGE,4.3,FREE,SUMMER,BOAT-NECK,SLEEVELESS,,,,,,1
1130624045,SEXY,LOW,0.0,FREE,AUTUMN,SLASH-NECK,SHORT,EMPIRE,,,hollowout,solid,0
547555172,CUTE,LOW,4.7,XL,SUMMER,O-NECK,SHORT,EMPIRE,CHIFFONFABRIC,chiffon,bow,print,0
1083323104,SEXY,LOW,4.5,L,SPRING,O-NECK,SLEEVELESS,,,,lace,solid,0
955188745,CASUAL,AVERAGE,4.7,M,AUTUMN,O-NECK,SLEEVELESS,,COTTON,,,animal,1
1140306858,CASUAL,AVERAGE,0.0,L,SPRING,BOAT-NECK,SLEEVELESS,NATURAL,COTTON,,lace,solid,1
895807023,CUTE,LOW,4.7,FREE,SUMMER,O-NECK,SLEEVELESS,,,chiffon,,print,1
818505402,CASUAL,LOW,4.4,FREE,SUMMER,TURNDOWNCOLLOR,SLEEVELESS,NATURAL,COTTON,,,solid,0
897981100,CASUAL,AVERAGE,4.8,L,WINTER,V-NECK,SHORT,EMPIRE,POLYSTER,,ruffles,solid,0
973481686,VINTAGE,AVERAGE,4.3,FREE,WINTER,O-NECK,SHORT,,CHIFFONFABRIC,chiffon,,print,0
1021375534,CUTE,LOW,4.5,L,SUMMER,O-NECK,SLEEVELESS,NATURAL,COTTON,chiffon,sashes,solid,1
549437715,CASUAL,AVERAGE,4.4,M,SUMMER,TURNDOWNCOLLOR,SLEEVELESS,NATURAL,CHIFFONFABRIC,chiffon,,solid,0
1097548715,VINTAGE,MEDIUM,0.0,S,WINTER,TURNDOWNCOLLOR,HALF,NATURAL,COTTON,broadcloth,,plaid,0
578702321,SEXY,LOW,4.7,FREE,SUMMER,TURNDOWNCOLLOR,SLEEVELESS,NATURAL,COTTON,,,solid,1
1155548915,VINTAGE,HIGH,0.0,L,SUMMER,O-NECK,SHORT,NATURAL,COTTON,,,print,0
1199064757,CASUAL,LOW,0.0,FREE,SPRING,V-NECK,THREEQUARTER,,SILK,,lace,,1
1078994436,SEXY,AVERAGE,0.0,S,AUTUMN,SLASH-NECK,SHORT,NATURAL,,,lace,solid,0
949226757,CASUAL,LOW,0.0,FREE,SPRING,O-NECK,SHORT,NATURAL,,,hollowout,solid,0
832191944,CUTE,MEDIUM,5.0,FREE,WINTER,O-NECK,SLEEVELESS,NATURAL,SILK,,lace,solid,1
869572905,CASUAL,LOW,4.7,FREE,SUMMER,O-NECK,SLEEVELESS,,,,,print,0
896048351,SEXY,LOW,4.8,FREE,SPRING,V-NECK,SLEEVELESS,,,,sequined,solid,1
854444464,CASUAL,AVERAGE,4.5,L,WINTER,O-NECK,SHORT,NATURAL,COTTON,,bow,patchwork,0
1246749980,VINTAGE,AVERAGE,0.0,S,SPRING,O-NECK,FULL,NATURAL,MIX,chiffon,embroidary,print,0
849613634,CASUAL,AVERAGE,3.7,FREE,AUTUMN,BOAT-NECK,FULL,,,,,solid,1
1019768234,VINTAGE,AVERAGE,4.8,L,WINTER,O-NECK,SLEEVELESS,NATURAL,COTTON,,,patchwork,0
785830491,CUTE,AVERAGE,0.0,XL,SPRING,BOAT-NECK,FULL,,COTTON,worsted,applique,dot,1
